,group_id,category_id,category.name,category.shortname,city,country,link,group_name,events
9586,19891959,5,dancing,dancing,New York,US,https://www.meetup.com/Life-Is-Now-NYC-Meetup/,Life Is Now NYC Meetup,[]
9587,19893085,29,sci-fi/fantasy,sci-fi-fantasy,New York,US,https://www.meetup.com/Girl-Geek-Book-Club/,Girl Geek Book Club,[]
9588,19894421,34,tech,tech,Chicago,US,https://www.meetup.com/PivotalDataAnalyticRoadShowat1871/,Pivotal Data Analytics & Data Science Road Show,[]
9589,19896768,32,sports/recreation,sports-recreation,New York,US,https://www.meetup.com/Central-Park-Thursday-Pick-Up-Soccer/,Central Park Coed Thursday Pick-Up Soccer,[]
9590,19897095,34,tech,tech,San Francisco,US,https://www.meetup.com/openshift-k8s-sf/,OpenShift and Kubernetes San Francisco,[]
9591,19898860,9,fitness,fitness,Chicago,US,https://www.meetup.com/ChicagoNorthsideFitnessandSports/,Chicago Northside Fitness and Sports,[]
9592,19899810,31,socializing,socializing,New York,US,https://www.meetup.com/Free-NYC-and-Incredible-Deals/,Free NYC and Incredible Deals,[]
9593,19900010,2,career/business,career-business,New York,US,https://www.meetup.com/Hedge-Fund-Networking/,Hedge Fund Networking,[]
9594,19900621,20,movies/film,movies-film,San Francisco,US,https://www.meetup.com/Bay-Area-Virtual-Reality-Cinematographers/,Bay Area Virtual Reality Cinematographers,[]
9595,19900878,8,fashion/beauty,fashion-beauty,Chicago,US,https://www.meetup.com/Chicago-Makeup-Lessons-Networking/,Chicago Makeup Lessons & Networking,[]
9596,19901362,31,socializing,socializing,New York,US,https://www.meetup.com/Fascinating-Women-of-NY-and-NJ-United/,Fascinating Women of NY and NJ United,[]
9597,19901414,2,career/business,career-business,New York,US,https://www.meetup.com/Family-Office-Networking/,Family Office Networking,[]
9598,19901565,2,career/business,career-business,New York,US,https://www.meetup.com/Stockbrokers-and-Traders-Networking/,Stockbrokers and Traders Networking,[]
9599,19904002,6,education/learning,education-learning,San Francisco,US,https://www.meetup.com/FreeIC/,Free Intelligent Conversation Meetup,[]
9600,19904499,34,tech,tech,Chicago,US,https://www.meetup.com/Chicago-In-Memory-Data-Grid-Meetup/,"GemFire & Spring Cloud Data Flow @1871 on 9/15, @ 5pm",[]
9601,19904508,28,religion/beliefs,religion-beliefs,Chicago,US,https://www.meetup.com/Ask-A-Pastor-Far-Northwest-Side-Spiritual-Discussions/,Ask A Pastor (Far Northwest Side Spiritual Discussions),[]
9602,19904741,23,outdoors/adventure,outdoors-adventure,Chicago,US,https://www.meetup.com/Chicago-Solo-TravelersLLC/,Chicago Solo Travelers,[]
9603,19904770,14,health/wellbeing,health-wellbeing,New York,US,https://www.meetup.com/Paneurhythmy-New-York-City/,Paneurhythmy NYC,[]
9604,19905713,2,career/business,career-business,New York,US,https://www.meetup.com/Commercial-Realty-Investment-Club-NYC-Chapter/,Commercial Realty Investment Club - NYC Chapter,[]
9605,19905959,2,career/business,career-business,San Francisco,US,https://www.meetup.com/San-Francisco-Business-Case-Study-and-HBX-Coursework-Meetup/,San Francisco Business Case Study and HBX Coursework Meetup,[]
9606,19905995,34,tech,tech,San Francisco,US,https://www.meetup.com/San-Francisco-Engineering-Management-Meetup/,San Francisco Engineering Managers Meetup,[]
9607,19907030,1,fine arts/culture,arts-culture,New York,US,https://www.meetup.com/Happy-Hour-Artists/,Happy Hour Artists: Broadway Musical Medley Project,[]
9608,19907043,34,tech,tech,Chicago,US,https://www.meetup.com/www-celtra-com-video-roadshow/,Chicago Mobile User Experience Meetup,[]
9609,19907170,6,education/learning,education-learning,San Francisco,US,https://www.meetup.com/Ben-Franklin-Circles-San-Francisco/,Ben Franklin Circles - San Francisco,[]
9610,19907205,14,health/wellbeing,health-wellbeing,Chicago,US,https://www.meetup.com/yogifitnessclub/,Yogi Fitness Club,[]
9611,19907703,34,tech,tech,San Francisco,US,https://www.meetup.com/San-Francisco-Bay-Area-Red-Hat-User-Group/,San Francisco Bay Area Red Hat User Group,[]
